Age,Education,Sex,Group_ID
40, Some-college, Male,36
33, HS-grad, Male,36
37, Some-college, Male,36
34, Masters, Male,37
56, Some-college, Male,37
28, HS-grad, Female,37
37, Bachelors, Female,37
44, HS-grad, Female,37
64, Some-college, Male,38
54, HS-grad, Male,38
23, HS-grad, Male,38
34, Bachelors, Male,38
22, HS-grad, Female,38
33, Bachelors, Male,39
39, Bachelors, Male,39
47, Some-college, Female,39
79, 7th-8th, Male,39
26, HS-grad, Female,39
31, Some-college, Female,40
44, Some-college, Male,40
42, Prof-school, Female,40
19, HS-grad, Female,40
27, HS-grad, Male,40
51, Some-college, Male,41
28, Bachelors, Male,41
57, Bachelors, Male,41
45, Bachelors, Female,41
50, Assoc-voc, Male,41
34, Bachelors, Male,42
45, 7th-8th, Male,42
73, HS-grad, Male,42
34, Bachelors, Female,42
31, Some-college, Male,42
19, 11th, Male,43
25, Some-college, Female,43
38, Assoc-voc, Female,43
39, Bachelors, Male,43
23, Bachelors, Female,43
49, HS-grad, Male,44
33, HS-grad, Male,44
21, 5th-6th, Male,44
31, Assoc-voc, Male,44
23, Bachelors, Female,44
34, Bachelors, Male,45
25, HS-grad, Female,45
39, HS-grad, Male,45
52, HS-grad, Male,45
63, 9th, Male,45
41, Some-college, Male,46
46, Bachelors, Male,46
53, HS-grad, Male,46
25, 9th, Female,46
77, Some-college, Male,46
18, 12th, Male,47
38, Prof-school, Male,47
55, Masters, Female,47
34, HS-grad, Male,47
80, HS-grad, Male,47
34, Assoc-voc, Female,48
52, Some-college, Male,48
42, HS-grad, Female,48
26, Some-college, Female,48
31, HS-grad, Male,48
25, HS-grad, Female,49
55, HS-grad, Male,49
19, Some-college, Female,49
62, Some-college, Male,49
22, Some-college, Female,49
39, HS-grad, Female,50
35, HS-grad, Male,50
28, HS-grad, Female,50
47, HS-grad, Male,50
44, HS-grad, Male,50
21, Some-college, Male,51
35, Assoc-voc, Male,51
24, Bachelors, Male,51
42, Bachelors, Male,51
28, Bachelors, Male,51
21, Some-college, Male,52
62, Some-college, Male,52
39, HS-grad, Female,52
30, HS-grad, Male,52
72, Prof-school, Male,52
50, Some-college, Female,53
28, Masters, Male,53
29, Some-college, Female,53
26, Bachelors, Female,53
27, Masters, Female,53
29, Some-college, Male,54
61, HS-grad, Male,54
29, 10th, Male,54
21, Some-college, Female,54
31, 11th, Female,54
25, HS-grad, Male,55
58, 10th, Male,55
64, Some-college, Female,55
46, Masters, Male,55
53, HS-grad, Male,55
19, HS-grad, Female,56
42, HS-grad, Male,56
18, 11th, Male,56
58, Bachelors, Male,56
20, Some-college, Male,56
35, HS-grad, Male,57
32, HS-grad, Male,57
23, HS-grad, Female,57
31, Some-college, Female,57
33, Bachelors, Male,57
41, Some-college, Female,58
22, HS-grad, Male,58
46, Some-college, Male,58
61, Some-college, Male,58
30, HS-grad, Male,58
42, HS-grad, Male,59
63, 10th, Male,59
26, Some-college, Male,59
42, 10th, Female,59
23, Some-college, Male,59
25, HS-grad, Male,60
30, 9th, Male,60
23, HS-grad, Male,60
34, Assoc-voc, Male,60
30, HS-grad, Male,60
39, Some-college, Male,61
30, 11th, Male,61
38, Some-college, Female,61
26, HS-grad, Female,61
20, Some-college, Male,61
37, Bachelors, Male,62
33, HS-grad, Female,62
24, Bachelors, Male,62
42, Bachelors, Male,62
51, HS-grad, Male,62
56, Assoc-acdm, Male,63
22, Some-college, Male,63
52, Some-college, Male,63
44, Bachelors, Female,63
34, HS-grad, Female,63
51, Some-college, Male,64
20, Some-college, Male,64
19, Some-college, Female,64
37, Bachelors, Male,64
68, HS-grad, Male,64
22, Some-college, Male,65
56, Bachelors, Male,65
37, HS-grad, Male,65
52, 1st-4th, Male,65
26, HS-grad, Male,65
33, Masters, Male,66
45, Masters, Female,66
18, 11th, Male,66
43, Some-college, Male,66
64, Doctorate, Male,66
18, HS-grad, Male,67
20, Some-college, Male,67
57, HS-grad, Male,67
41, HS-grad, Female,67
34, Masters, Male,67
19, HS-grad, Female,68
44, 9th, Female,68
56, 10th, Female,68
36, HS-grad, Male,68
48, Bachelors, Female,68
29, HS-grad, Male,69
33, Bachelors, Male,69
31, 5th-6th, Male,69
39, Masters, Male,69
66, HS-grad, Male,69
27, Bachelors, Female,70
39, HS-grad, Female,70
59, 7th-8th, Male,70
26, HS-grad, Female,70
31, Assoc-voc, Male,70
45, HS-grad, Female,71
23, HS-grad, Male,71
36, HS-grad, Female,71
34, Some-college, Female,71
32, HS-grad, Male,71
37, Bachelors, Male,72
33, Bachelors, Male,72
50, Prof-school, Male,72
32, Assoc-acdm, Male,72
35, Bachelors, Female,72
37, 11th, Male,73
44, Some-college, Male,73
57, Some-college, Male,73
29, Some-college, Female,73
55, HS-grad, Male,73
43, Prof-school, Male,74
43, Some-college, Male,74
45, Some-college, Male,74
33, Masters, Female,74
26, 10th, Female,74
23, Some-college, Male,75
41, 7th-8th, Male,75
24, HS-grad, Male,75
47, Bachelors, Male,75
34, HS-grad, Male,75
40, HS-grad, Male,76
28, Bachelors, Female,76
24, HS-grad, Female,76
73, Some-college, Male,76
23, HS-grad, Male,76
43, HS-grad, Male,77
26, Bachelors, Female,77
58, Doctorate, Female,77
52, HS-grad, Female,77
29, 11th, Male,77
47, 11th, Male,78
49, HS-grad, Female,78
40, 11th, Female,78
62, HS-grad, Female,78
49, HS-grad, Male,78
50, Bachelors, Female,79
31, HS-grad, Male,79
48, Masters, Female,79
24, HS-grad, Female,79
41, HS-grad, Female,79
37, HS-grad, Male,80
45, Bachelors, Male,80
63, HS-grad, Male,80
36, Masters, Male,80
45, Bachelors, Male,80
41, Bachelors, Female,81
26, Assoc-acdm, Female,81
17, 11th, Female,81
27, HS-grad, Male,81
43, HS-grad, Male,81
35, HS-grad, Male,82
38, Bachelors, Female,82
26, HS-grad, Male,82
28, Some-college, Female,82
38, Bachelors, Female,82
36, 11th, Female,83
33, HS-grad, Female,83
19, HS-grad, Male,83
22, Assoc-acdm, Male,83
42, 10th, Male,83
50, 10th, Male,84
30, HS-grad, Male,84
37, Some-college, Male,84
54, Prof-school, Male,84
52, Bachelors, Male,84
65, 1st-4th, Male,85
33, HS-grad, Female,85
25, Some-college, Male,85
24, Bachelors, Male,85
26, Assoc-voc, Female,85
39, HS-grad, Male,86
59, HS-grad, Female,86
29, Some-college, Female,86
47, 11th, Female,86
23, Some-college, Female,86
64, HS-grad, Male,87
21, HS-grad, Male,87
32, Some-college, Female,87
26, HS-grad, Female,87
19, Some-college, Female,87
62, Masters, Male,88
32, Bachelors, Male,88
75, 10th, Female,88
45, HS-grad, Male,88
31, Bachelors, Male,88
32, HS-grad, Male,89
24, Bachelors, Male,89
25, Bachelors, Female,89
41, HS-grad, Male,89
18, Some-college, Female,89
44, Doctorate, Male,90
40, Some-college, Male,90
27, Bachelors, Male,90
23, Bachelors, Male,90
21, Some-college, Male,90
37, HS-grad, Male,91
65, HS-grad, Male,91
43, Masters, Male,91
45, HS-grad, Male,91
24, Bachelors, Female,91
24, Some-college, Male,92
19, Some-college, Male,92
37, Bachelors, Male,92
24, HS-grad, Female,92
34, Some-college, Male,92
50, HS-grad, Female,93
36, HS-grad, Male,93
39, Bachelors, Male,93
44, 7th-8th, Male,93
45, HS-grad, Male,93
32, 11th, Male,94
47, Masters, Male,94
50, HS-grad, Male,94
32, Assoc-voc, Male,94
19, HS-grad, Male,94
19, Some-college, Female,95
28, Masters, Male,95
28, HS-grad, Male,95
39, Masters, Male,95
21, Some-college, Male,95
73, Some-college, Female,96
39, 7th-8th, Male,96
25, Some-college, Male,96
31, Some-college, Female,96
51, Some-college, Female,96
39, Bachelors, Female,97
31, Bachelors, Male,97
21, Some-college, Male,97
46, Bachelors, Male,97
73, HS-grad, Female,97
41, HS-grad, Male,98
20, HS-grad, Male,98
27, Assoc-acdm, Male,98
24, Bachelors, Male,98
20, Some-college, Male,98
39, Assoc-voc, Male,99
27, Bachelors, Male,99
33, 11th, Male,99
33, HS-grad, Male,99
36, 9th, Male,99
55, Some-college, Male,100
19, Some-college, Male,100
35, HS-grad, Male,100
34, 5th-6th, Male,100
62, Prof-school, Female,100
33, Some-college, Male,101
39, 9th, Male,101
36, Some-college, Male,101
41, Bachelors, Female,101
39, HS-grad, Male,101
38, HS-grad, Female,102
18, HS-grad, Female,102
61, Some-college, Male,102
20, Assoc-voc, Female,102
35, HS-grad, Male,102
27, HS-grad, Male,103
66, 10th, Female,103
21, HS-grad, Male,103
20, Some-college, Female,103
34, Some-college, Male,103
63, 5th-6th, Female,104
20, HS-grad, Male,104
31, HS-grad, Female,104
41, Doctorate, Male,104
64, 1st-4th, Male,104
32, Bachelors, Female,105
30, HS-grad, Male,105
36, Bachelors, Male,105
22, Some-college, Male,105
53, Some-college, Male,105
50, HS-grad, Female,106
36, Bachelors, Male,106
41, 11th, Male,106
55, Bachelors, Female,106
38, Bachelors, Male,106
28, Bachelors, Male,107
24, Bachelors, Female,107
60, Some-college, Female,107
54, 10th, Male,107
27, HS-grad, Male,107
30, Masters, Female,108
54, HS-grad, Male,108
44, Some-college, Male,108
52, HS-grad, Male,108
18, 11th, Male,108
55, 7th-8th, Male,109
35, Bachelors, Male,109
37, Bachelors, Female,109
22, Some-college, Female,109
45, Bachelors, Male,109
38, Bachelors, Male,110
48, Bachelors, Male,110
35, Assoc-voc, Male,110
21, Assoc-voc, Male,110
37, HS-grad, Male,110
18, 11th, Male,111
26, 10th, Male,111
48, Bachelors, Male,111
51, Some-college, Male,111
52, Some-college, Male,111
32, Bachelors, Male,112
39, Bachelors, Male,112
51, Bachelors, Male,112
54, Bachelors, Male,112
21, Some-college, Female,112
43, HS-grad, Female,113
32, Some-college, Female,113
31, Masters, Male,113
73, HS-grad, Male,113
26, Some-college, Male,113
35, HS-grad, Male,114
73, 5th-6th, Male,114
25, Bachelors, Female,114
58, Assoc-voc, Male,114
32, HS-grad, Female,114
28, Bachelors, Male,115
41, Masters, Female,115
53, HS-grad, Male,115
49, HS-grad, Female,115
55, Bachelors, Male,115
29, Some-college, Female,116
28, Assoc-voc, Male,116
44, HS-grad, Male,116
41, Masters, Male,116
26, Assoc-voc, Male,116
23, HS-grad, Male,117
37, Bachelors, Female,117
23, Bachelors, Male,117
33, Some-college, Female,117
44, HS-grad, Male,117
21, Some-college, Male,118
36, 11th, Male,118
44, Bachelors, Male,118
23, HS-grad, Female,118
26, HS-grad, Male,118
32, 5th-6th, Male,119
31, Some-college, Male,119
50, HS-grad, Female,119
18, Some-college, Female,119
49, Bachelors, Male,119
59, HS-grad, Female,120
38, HS-grad, Female,120
50, Some-college, Male,120
51, Some-college, Male,120
22, Some-college, Male,120
54, HS-grad, Female,121
37, HS-grad, Male,121
31, Bachelors, Male,121
67, Bachelors, Male,121
43, 11th, Male,121
21, Some-college, Female,122
30, HS-grad, Female,122
32, Some-college, Male,122
36, Assoc-voc, Male,122
33, Bachelors, Male,122
37, HS-grad, Male,123
29, Prof-school, Male,123
18, Some-college, Male,123
26, Some-college, Male,123
51, 7th-8th, Male,123
39, HS-grad, Male,124
18, HS-grad, Male,124
52, 12th, Male,124
31, Some-college, Male,124
45, Bachelors, Male,124
38, Some-college, Male,125
21, Assoc-acdm, Female,125
33, HS-grad, Male,125
39, Some-college, Male,125
31, HS-grad, Male,125
43, Bachelors, Male,126
64, Bachelors, Male,126
33, Bachelors, Male,126
49, HS-grad, Male,126
41, HS-grad, Male,126
55, Some-college, Male,127
52, Some-college, Female,127
42, Bachelors, Male,127
24, Some-college, Female,127
42, HS-grad, Male,127
41, Bachelors, Male,128
35, HS-grad, Male,128
71, 5th-6th, Male,128
54, Masters, Male,128
24, 5th-6th, Male,128
59, HS-grad, Female,129
30, 11th, Female,129
57, Bachelors, Female,129
58, Masters, Male,129
32, HS-grad, Male,129
22, HS-grad, Female,130
20, HS-grad, Female,130
60, Bachelors, Male,130
51, HS-grad, Female,130
26, HS-grad, Female,130
33, 11th, Male,131
19, 10th, Female,131
50, HS-grad, Female,131
32, HS-grad, Male,131
51, Bachelors, Male,131
18, Some-college, Female,132
35, Masters, Male,132
22, Some-college, Male,132
46, HS-grad, Male,132
37, HS-grad, Male,132
45, Some-college, Female,133
63, 9th, Male,133
53, HS-grad, Male,133
24, HS-grad, Female,133
65, 11th, Male,133
43, Assoc-acdm, Female,134
47, HS-grad, Male,134
41, HS-grad, Female,134
27, HS-grad, Male,134
35, HS-grad, Male,134
19, Some-college, Female,135
47, Some-college, Female,135
25, Bachelors, Female,135
59, Prof-school, Male,135
28, 10th, Female,135
17, 10th, Female,136
21, Some-college, Male,136
31, HS-grad, Female,136
49, HS-grad, Female,136
48, Masters, Male,136
60, Doctorate, Male,137
33, 12th, Male,137
40, HS-grad, Male,137
42, Some-college, Male,137
34, HS-grad, Male,137
38, Assoc-voc, Male,138
58, Some-college, Male,138
20, Some-college, Female,138
52, Some-college, Female,138
22, Some-college, Male,138
24, Bachelors, Male,139
39, HS-grad, Female,139
41, Masters, Male,139
37, Some-college, Male,139
56, 9th, Male,139
21, HS-grad, Female,140
29, HS-grad, Female,140
45, Assoc-voc, Male,140
44, Some-college, Male,140
54, Masters, Male,140
24, Some-college, Male,141
40, Bachelors, Male,141
43, Bachelors, Male,141
20, Some-college, Male,141
41, 11th, Female,141
32, Assoc-voc, Female,142
31, Bachelors, Female,142
26, HS-grad, Male,142
50, Bachelors, Male,142
62, Assoc-voc, Male,142
24, HS-grad, Male,143
58, Bachelors, Male,143
44, Some-college, Male,143
44, 12th, Male,143
37, Some-college, Male,143
65, 7th-8th, Male,144
33, HS-grad, Male,144
34, HS-grad, Female,144
56, Masters, Male,144
35, Masters, Male,144
33, Bachelors, Male,145
35, Bachelors, Male,145
47, Some-college, Female,145
35, 9th, Male,145
56, Some-college, Female,145
29, Masters, Male,146
53, Prof-school, Male,146
42, Assoc-voc, Female,146
20, Some-college, Female,146
24, Bachelors, Male,146
33, HS-grad, Male,147
42, 10th, Male,147
38, Some-college, Male,147
32, HS-grad, Male,147
20, 7th-8th, Male,147
32, HS-grad, Male,148
28, Some-college, Male,148
51, HS-grad, Male,148
41, HS-grad, Male,148
37, Assoc-acdm, Female,148
23, HS-grad, Female,149
40, HS-grad, Male,149
47, 10th, Male,149
46, HS-grad, Male,149
24, Bachelors, Male,149
40, HS-grad, Female,150
30, HS-grad, Male,150
41, Prof-school, Female,150
37, Bachelors, Female,150
49, HS-grad, Male,150
41, Bachelors, Female,151
52, Assoc-voc, Male,151
23, Some-college, Male,151
34, HS-grad, Female,151
25, Bachelors, Female,151
44, HS-grad, Male,152
31, HS-grad, Male,152
53, Bachelors, Female,152
62, HS-grad, Male,152
35, Bachelors, Male,152
30, Bachelors, Male,153
48, HS-grad, Female,153
36, Bachelors, Female,153
32, 11th, Male,153
22, Some-college, Female,153
17, 11th, Male,154
19, HS-grad, Female,154
26, HS-grad, Female,154
20, Some-college, Male,154
56, Some-college, Male,154
45, 7th-8th, Female,155
23, Some-college, Female,155
31, HS-grad, Male,155
30, 11th, Female,155
42, HS-grad, Male,155
27, Prof-school, Male,156
37, Bachelors, Male,156
31, HS-grad, Male,156
33, Bachelors, Female,156
64, Preschool, Male,156
32, HS-grad, Female,157
62, HS-grad, Male,157
37, Some-college, Male,157
25, 11th, Male,157
49, HS-grad, Male,157
36, Bachelors, Male,158
67, Some-college, Male,158
54, HS-grad, Male,158
45, Doctorate, Female,158
30, Some-college, Male,158
39, HS-grad, Female,159
57, 10th, Female,159
57, 10th, Male,159
23, HS-grad, Male,159
49, HS-grad, Male,159
46, Bachelors, Male,160
41, Bachelors, Female,160
44, Assoc-voc, Male,160
25, Bachelors, Female,160
34, Bachelors, Male,160
24, Bachelors, Male,161
32, Bachelors, Female,161
27, HS-grad, Male,161
67, 12th, Male,161
36, HS-grad, Male,161
40, Some-college, Male,162
24, HS-grad, Male,162
46, Bachelors, Male,162
44, HS-grad, Female,162
23, Some-college, Male,162
46, Prof-school, Male,163
31, Assoc-voc, Male,163
21, Some-college, Male,163
61, HS-grad, Male,163
71, HS-grad, Male,163
42, Bachelors, Male,164
27, Some-college, Male,164
21, Some-college, Female,164
21, Preschool, Male,164
28, Bachelors, Female,164
27, Assoc-acdm, Female,165
32, Some-college, Female,165
47, HS-grad, Male,165
22, Assoc-acdm, Male,165
56, HS-grad, Male,165
20, HS-grad, Female,166
30, Some-college, Female,166
22, Some-college, Female,166
28, Assoc-voc, Male,166
50, Masters, Male,166
66, HS-grad, Female,167
38, Some-college, Male,167
62, 12th, Male,167
36, Masters, Female,167
47, 10th, Male,167
25, HS-grad, Male,168
26, Some-college, Male,168
37, 11th, Male,168
70, 7th-8th, Male,168
52, 11th, Male,168
70, 9th, Male,169
19, HS-grad, Male,169
23, 11th, Male,169
37, Bachelors, Female,169
37, 11th, Female,169
45, Some-college, Female,170
29, Bachelors, Male,170
56, Bachelors, Male,170
50, Masters, Male,170
20, HS-grad, Male,170
26, Bachelors, Male,171
41, Prof-school, Male,171
21, HS-grad, Male,171
48, 5th-6th, Male,171
22, Some-college, Male,171
37, Assoc-acdm, Male,172
47, Some-college, Male,172
61, Bachelors, Male,172
47, Masters, Male,172
37, HS-grad, Male,172
46, Assoc-voc, Female,173
42, HS-grad, Male,173
41, HS-grad, Female,173
33, 9th, Male,173
24, Bachelors, Male,173
27, Assoc-acdm, Male,174
40, Bachelors, Male,174
56, 10th, Male,174
35, Doctorate, Male,174
24, Assoc-voc, Male,174
73, Some-college, Female,175
36, Some-college, Male,175
31, Bachelors, Male,175
50, HS-grad, Male,175
36, HS-grad, Male,175
37, HS-grad, Male,176
26, Bachelors, Female,176
20, HS-grad, Male,176
58, Bachelors, Male,176
45, Bachelors, Male,176
33, Bachelors, Male,177
31, Bachelors, Female,177
44, Prof-school, Male,177
19, Some-college, Female,177
54, HS-grad, Male,177
31, Masters, Male,178
27, HS-grad, Male,178
36, Some-college, Male,178
47, Some-college, Male,178
35, Bachelors, Male,178
42, 1st-4th, Male,179
45, Bachelors, Female,179
70, HS-grad, Male,179
27, 12th, Female,179
36, HS-grad, Male,179
23, HS-grad, Male,180
25, Bachelors, Male,180
45, Some-college, Male,180
24, HS-grad, Male,180
90, Assoc-acdm, Male,180
50, HS-grad, Male,181
37, HS-grad, Male,181
31, Some-college, Female,181
17, 11th, Male,181
26, Some-college, Male,181
41, Doctorate, Male,182
50, HS-grad, Male,182
45, HS-grad, Male,182
54, Some-college, Male,182
54, HS-grad, Male,182
38, HS-grad, Male,183
22, HS-grad, Female,183
43, HS-grad, Male,183
19, HS-grad, Female,183
30, Bachelors, Male,183
31, 9th, Female,184
42, HS-grad, Male,184
48, Some-college, Male,184
56, Some-college, Male,184
21, Some-college, Male,184
45, Bachelors, Male,185
37, Prof-school, Male,185
38, Bachelors, Male,185
34, Some-college, Male,185
29, HS-grad, Male,185
24, HS-grad, Male,186
79, Masters, Female,186
35, Assoc-acdm, Male,186
39, 10th, Male,186
73, 7th-8th, Male,186
57, Assoc-voc, Female,187
35, Bachelors, Male,187
60, HS-grad, Male,187
19, Some-college, Female,187
54, HS-grad, Male,187
53, Bachelors, Male,188
23, Some-college, Female,188
57, Some-college, Male,188
27, 10th, Female,188
25, HS-grad, Male,188
38, HS-grad, Male,189
48, Some-college, Male,189
24, HS-grad, Female,189
67, Some-college, Male,189
20, HS-grad, Male,189
38, Doctorate, Male,190
54, 7th-8th, Male,190
20, Some-college, Male,190
57, 10th, Male,190
34, Bachelors, Male,190
34, HS-grad, Male,191
80, HS-grad, Female,191
40, HS-grad, Female,191
19, 11th, Male,191
35, Some-college, Male,191
21, HS-grad, Female,192
59, 11th, Male,192
53, Some-college, Male,192
41, Assoc-voc, Female,192
59, HS-grad, Male,192
21, Some-college, Female,193
52, 1st-4th, Male,193
48, 5th-6th, Male,193
24, 12th, Male,193
49, Prof-school, Male,193
19, HS-grad, Male,194
50, HS-grad, Female,194
39, Assoc-acdm, Male,194
25, HS-grad, Female,194
66, 7th-8th, Female,194
30, Some-college, Male,195
49, Masters, Male,195
40, Some-college, Male,195
38, 10th, Male,195
25, 11th, Male,195
51, HS-grad, Male,196
23, Bachelors, Female,196
60, 9th, Male,196
44, HS-grad, Male,196
53, Prof-school, Male,196
66, Bachelors, Male,197
18, HS-grad, Female,197
44, Assoc-voc, Male,197
38, HS-grad, Male,197
30, Bachelors, Male,197
36, HS-grad, Male,198
38, Some-college, Male,198
31, Bachelors, Female,198
26, 11th, Female,198
23, Some-college, Male,198
58, Bachelors, Female,199
44, Bachelors, Male,199
59, Prof-school, Male,199
36, Some-college, Male,199
42, Some-college, Female,199
17, 11th, Female,200
59, 10th, Female,200
22, Some-college, Male,200
40, Bachelors, Male,200
36, Bachelors, Male,200
19, HS-grad, Female,201
49, HS-grad, Female,201
18, Some-college, Male,201
38, HS-grad, Male,201
48, HS-grad, Male,201
53, HS-grad, Male,202
33, Assoc-acdm, Male,202
34, Assoc-voc, Female,202
41, Masters, Male,202
20, Assoc-acdm, Female,202
58, HS-grad, Male,203
52, 10th, Male,203
45, Some-college, Male,203
37, 7th-8th, Male,203
48, HS-grad, Male,203
40, Bachelors, Male,204
29, Bachelors, Male,204
33, Assoc-voc, Male,204
51, HS-grad, Male,204
48, HS-grad, Male,204
36, Bachelors, Female,205
31, Some-college, Female,205
41, Some-college, Male,205
29, Bachelors, Male,205
20, Some-college, Male,205
53, Bachelors, Male,206
37, HS-grad, Female,206
28, Bachelors, Female,206
27, Bachelors, Female,206
57, Preschool, Male,206
23, Some-college, Female,207
25, Assoc-voc, Male,207
63, Some-college, Male,207
65, Some-college, Male,207
77, HS-grad, Female,207
32, HS-grad, Male,208
40, HS-grad, Male,208
67, HS-grad, Female,208
35, HS-grad, Female,208
24, Masters, Female,208
53, Doctorate, Male,209
37, Masters, Male,209
44, Some-college, Female,209
25, 11th, Female,209
17, 11th, Female,209
47, Assoc-voc, Male,210
62, 10th, Male,210
39, Assoc-acdm, Male,210
18, 11th, Male,210
32, Some-college, Female,210
25, Bachelors, Female,211
30, HS-grad, Male,211
47, Masters, Male,211
40, 10th, Male,211
38, HS-grad, Male,211
41, Masters, Male,212
21, Some-college, Male,212
32, Assoc-acdm, Male,212
54, 7th-8th, Male,212
31, Preschool, Male,212
42, Assoc-voc, Male,213
23, 10th, Male,213
18, HS-grad, Female,213
65, 7th-8th, Female,213
37, Some-college, Male,213
53, Assoc-acdm, Female,214
50, HS-grad, Male,214
64, HS-grad, Female,214
55, Masters, Male,214
63, Bachelors, Male,214
53, Some-college, Female,215
18, 11th, Male,215
33, 11th, Male,215
62, 11th, Female,215
56, Masters, Male,215
58, Masters, Male,216
33, 10th, Female,216
58, HS-grad, Male,216
44, Bachelors, Male,216
81, 7th-8th, Female,216
28, HS-grad, Male,217
28, HS-grad, Male,217
43, Bachelors, Male,217
51, HS-grad, Female,217
23, Some-college, Male,217
48, HS-grad, Female,218
45, Bachelors, Male,218
48, 10th, Male,218
37, HS-grad, Female,218
34, Masters, Male,218
63, Some-college, Male,219
38, 7th-8th, Male,219
29, HS-grad, Male,219
33, 9th, Male,219
47, 5th-6th, Female,219
30, 9th, Male,220
35, Some-college, Male,220
54, Bachelors, Male,220
26, Masters, Male,220
39, HS-grad, Male,220
34, HS-grad, Female,221
55, Bachelors, Male,221
33, Assoc-voc, Male,221
17, 7th-8th, Male,221
